premise,hypothesis,gpt_reply
"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Das Mädchen, von dem ich Hilfe brauche, lebt in einiger Entfernung.","entailment
"
"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Das Mädchen, das mir helfen wird, ist 5 Meilen entfernt.","neutral
"
"Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.","Es gibt niemanden, der mir helfen kann.","contradiction
"
"Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...","Alle waren sich einig, dass sie alle auf den Feldern arbeiten würden.","contradiction
"
"Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...","Sie konnten sich nicht darüber einigen, wer nach draußen und wer ins Haus gehörte.","entailment
"
"Aber sie waren gespalten darüber, wer die Feldhände waren und wer die Hauskinder waren, es war irgendwie ...","Sie konnten sich nicht einigen, wer im Baumwollfeld arbeiten sollte und wer die Böden wischen sollte.","entailment
"
"Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.",Alle ihrer Kinder überlebten.,"contradiction
"
"Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.",Eins von den fünf Kindern starb.,"entailment
"
"Ich meine sie hatten nur ungefähr 5 Kinder, eines starb.","Das Kind, das gestorben ist, wurde krank geboren.","neutral
"
"Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.","Als sie ihm sagte, er solle auf die Veranda kommen, hatte sie Tränen in den Augen.","neutral
"
"Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.",Sie wischte schnell die Tränen weg nachdem sie Joe von der Veranda warf.,"contradiction
"
"Sie sagte, dass nur Tränen aus ihren Augen kamen und sie sagte, dann sagte sie, Joe kam auf die Veranda.","Sie war so froh, Joe zu sehen, dass sie anfing zu weinen.","neutral
"
"Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.",Die Strahlung kann auch im Brandfall eingedämmt werden.,"neutral
"
"Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.","Die Strahlung würde, nachdem das Flugzeug verbrannt ist, aus einer Bleikomponente austreten.","entailment
"
"Selbst wenn das Flugzeug brannte, warum würde es, es brennen, uh, und es würde durch eine Bleikomponente schmelzen, so dass die Strahlung austreten würde.",Die Strahlung würde während eines Feuers nicht austreten.,"contradiction
"
"Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.",Der Chief ist aus der US Air Force in den Ruhestand getreten.,"entailment
"
"Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.",Der Leiter hat sich erst vor ein paar Wochen zurückgezogen.,"neutral
"
"Dies ist Chief Master Sergeant Clem Francis, im Ruhestand von der US Air Force.",Der US Air Force Chief hat gerade in dieser Woche seine Karriere begonnen.,"contradiction
"
"Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.",Jede Woche kommt mehr als ein Flugzeug an.,"entailment
"
"Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.",Der angestiegene Flugverkehr ist problematisch,"entailment
"
"Nun es kam soweit, dass zwei oder drei Flugzeuge pro Woche ankamen und ich nicht wusste, wohin sie flogen.",Es kommen nie Flugzeuge an.,"contradiction
"
"Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.","Es dauert bis zu drei Monate, um eine Schulung über die Verwendung eines Volldruckanzuges zu absolvieren.","neutral
"
"Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.",Das Training der Nutzung eines Volldruckanzug braucht Zeit.,"entailment
"
"Sie hatten ihr Training bereits in den vollen Druckanzügen absolviert und ich brauchte eine Weile, den vollen Druckanzug anzuziehen.","Wir könnten dir vor Tagesende beibringen, einen kompletten Druckanzug zu benutzen.","neutral
"
"Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.",Die Bombe wurde vom Piloten deaktiviert.,"neutral
"
"Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.",Die Bombe hatte keine Möglichkeit zu explodieren.,"entailment
"
"Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.","Es bestand eine große Gefahr, dass die Bombe explodierte.","contradiction
"
"Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.","Ich bin mir nicht sicher, wie das für dich aussieht.","neutral
"
"Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.",Ich versuche das offensichtlich zu tun.,"entailment
"
"Und wie wäre es, es sieht genau so aus, wie das, was ich versuche zu tun.","Ich werde versuchen, mein Projekt nächste Woche zu beenden.","neutral
"
"Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.",Die Ziegen sind jeden Tag aus der Scheune ausgebrochen.,"entailment
"
"Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.",Die Ziegen entkamen oft.,"entailment
"
"Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.",Die Ziegen wurden sicher un geschützt gehalten.,"entailment
"
"Die Türen waren geschlossen, als er hineinging.",Alle Türen waren offen.,"contradiction
"
"Die Türen waren geschlossen, als er hineinging.",Wir hatten Schlüssel dabei.,"neutral
"
"Die Türen waren geschlossen, als er hineinging.","Wir verschafften uns Eintritt, obwohl die Türen geschlossen waren.","entailment
"
"Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.","Ich bin zuversichtlich, dass die Summe alles ist, was ich brauche, um das herauszufinden.","entailment
"
"Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.","Ich habe keine Ahnung, was ich nur mit den Summen machen kann, bitte gib mir mehr Details, um dieses Chaos zu verstehen.","neutral
"
"Also, ich musste einfach die Summen nehmen und es versuchen es so zu machen.",Ich werde es auf den Gesamtbeträgen basierend berechnen.,"entailment
"
"Und vieles davon liegt daran, dass die Mütter Medikamente nehmen.",Die Mütter sind Drogenabhängige.,"neutral
"
"Und vieles davon liegt daran, dass die Mütter Medikamente nehmen.",Die Mütter haben keine Arzneiverordnungen oder Medikamente.,"contradiction
"
"Und vieles davon liegt daran, dass die Mütter Medikamente nehmen.",Die Mütter nehmen Drogen.,"neutral
"
Es ist sehr schön das es geregnet hat.,Der Regen macht mir nichts aus,"neutral
"
Es ist sehr schön das es geregnet hat.,Es ist schön und regnerisch.,"entailment
"
Es ist sehr schön das es geregnet hat.,Der unendliche Sonnenschein ist so schrecklich.,"neutral
"
"Oh, was menschliches Leben wert ist und ob du jemanden rehabilitieren kannst oder nicht",Jedes Leben ist es wert eine Reha zu machen und eine zweite Chance zu bekommen.,"entailment
"
"Oh, was menschliches Leben wert ist und ob du jemanden rehabilitieren kannst oder nicht","Keine Mensch verdient es, rehabilitiert zu werden.","contradiction
"
"Oh, was menschliches Leben wert ist und ob du jemanden rehabilitieren kannst oder nicht",Unabhängig von der Rehabilitation ist das Leben es wert.,"entailment
"
"Oh Junge, du hast dort ein merkwürdiges Verkabelungsproblem",Ich hatte nie ein Verkabelungproblem wie dieses.,"neutral
"
"Oh Junge, du hast dort ein merkwürdiges Verkabelungsproblem",Die Verkabelung ist nicht das Problem.,"contradiction
"
"Oh Junge, du hast dort ein merkwürdiges Verkabelungsproblem",Die eigenartige Schaltung verursacht ein Problem.,"entailment
"
"hört sich nach jeder Menge Spaß an, ja es ist unglaublich wie viele Sachen die erlauben","Ich bin überhaupt nicht überrascht, dass sie nachsichtig waren.","entailment
"
"hört sich nach jeder Menge Spaß an, ja es ist unglaublich wie viele Sachen die erlauben","Es wundert mich, dass sie dir erlauben hat, Essen und Trinken dadrin zu nehmen.","entailment
"
"hört sich nach jeder Menge Spaß an, ja es ist unglaublich wie viele Sachen die erlauben","Ich bin überrascht, womit sie davonkommen könnten.","entailment
"
"oh sowieso trotzdem ähm, meine Kinder sind jetzt einundzwanzig und vierundzwanzig, also muss ich nicht","Ich brauche das nicht, weil meine Kinder über zwanzig sind.","entailment
"
"oh sowieso trotzdem ähm, meine Kinder sind jetzt einundzwanzig und vierundzwanzig, also muss ich nicht","Ich muss wahrscheinlich, da sie ihr Alter so nah aneinander ist.","contradiction
"
"oh sowieso trotzdem ähm, meine Kinder sind jetzt einundzwanzig und vierundzwanzig, also muss ich nicht","Ich muss, da sie beide zehn und elf Jahre alt sind.","contradiction
"
"Ja Leute, die, die jederzeit arbeiten könnten oder deren Entscheidungen getrübt werden könnten, wenn sie eine Entscheidung treffen müssten","Naja, Leute die nicht das beste sind um Ermessensentscheidungen zu machen.","entailment
"
"Ja Leute, die, die jederzeit arbeiten könnten oder deren Entscheidungen getrübt werden könnten, wenn sie eine Entscheidung treffen müssten","Ja, Leute, die vielleicht keinen Hunger haben.","neutral
"
"Ja Leute, die, die jederzeit arbeiten könnten oder deren Entscheidungen getrübt werden könnten, wenn sie eine Entscheidung treffen müssten","Ja, Leute deren Entscheidungsfähigkeiten niemals beeinträchtigt sind.","contradiction
"
"Nein, sie sind, sie sind immer noch auf Tour; sie sind seit Ende der sechziger Jahre auf Tour.",Sie gehen schon seit den späten 1980ern auf Tournee.,"entailment
"
"Nein, sie sind, sie sind immer noch auf Tour; sie sind seit Ende der sechziger Jahre auf Tour.",Sie lieben es zu reisen.,"entailment
"
"Nein, sie sind, sie sind immer noch auf Tour; sie sind seit Ende der sechziger Jahre auf Tour.",Sie haben kürzlich ihre Tour beendet.,"contradiction
"
Wie würdest du Aerobic machen?,"Kannst du erklären, wie du Aerobic machen würdest?","entailment
"
Wie würdest du Aerobic machen?,Ich interessiere mich für Aerobic weil ich kardiovaskulare Aktivitäten brauche.,"neutral
"
Wie würdest du Aerobic machen?,"Bitte hör auf, über Aerobic zu reden.","neutral
"
"Nun, das ist ein guter, an den ich nicht gedacht hatte","Das ist eine dumme Idee, die ich letzte Woche verworfen habe.","contradiction
"
"Nun, das ist ein guter, an den ich nicht gedacht hatte",Das ist ein guter Einwand.,"entailment
"
"Nun, das ist ein guter, an den ich nicht gedacht hatte",Das von Ihnen erwähnte Paradoxon ist ein guter Punkt.,"entailment
"
"Tagesbetreuung zwei Tage die Woche  sie nenne es Senioren Tagesbetreuung, aber sie geht in das Seniorenzentrum",Die Tagesbetreuung ist nur für Kinder unter fünf Jahren täglich geöffnet.,"contradiction
"
"Tagesbetreuung zwei Tage die Woche  sie nenne es Senioren Tagesbetreuung, aber sie geht in das Seniorenzentrum","Wenn die Senioren dazu bereit sind, lassen sie sie mehr als zwei mal die Woche gehen.","neutral
"
"Tagesbetreuung zwei Tage die Woche  sie nenne es Senioren Tagesbetreuung, aber sie geht in das Seniorenzentrum","Sie nennen es eine Senioren Tagespflege, aber es heißt Senioren Zentrum.","neutral
"
"Das war ihr Ziel, oh.",Das ist was angesterben haben.,"neutral
"
"Das war ihr Ziel, oh.","Das war nie das, was sie wollten.","contradiction
"
"Das war ihr Ziel, oh.",Sie erreichten ihr Ziel.,"neutral
"
Waffenkontrolle bedeutet zwei Hände zu benutzen.,Die Hälfte aller Waffenfehlzündungen resultiert aus der Verwendung mit einer Hand.,"neutral
"
Waffenkontrolle bedeutet zwei Hände zu benutzen.,"Der beste weiter Vorgehen für Waffenkontrolle, ist mit beider Füße zu nutzen.","contradiction
"
Waffenkontrolle bedeutet zwei Hände zu benutzen.,"Benutze beide Hände, wenn du Waffenkontrolle üben willst.","entailment
"
"und ah, es erschien plötzlich, ich weiß nicht von wo es kommt, aber","Ich weiß nicht wo es herkommt, aber es ist schnell.","neutral
"
"und ah, es erschien plötzlich, ich weiß nicht von wo es kommt, aber","Es kommt schnell vorbei, aber ich weiß, wo es herkommen könnte.","neutral
"
"und ah, es erschien plötzlich, ich weiß nicht von wo es kommt, aber","Es kommt wie Melasse und ich weiß genau, wann es kommen wird.","contradiction
"
"Nein, eigentlich bin ich nicht einmal damit vertraut, denke ich",Ich weiß nicht viel darüber.,"entailment
"
"Nein, eigentlich bin ich nicht einmal damit vertraut, denke ich",Ich bin ignorant in Sachen Liebe.,"neutral
"
"Nein, eigentlich bin ich nicht einmal damit vertraut, denke ich",Ich studiere es seit Jahren.,"contradiction
"
Ja sie war großartig du weißt schon sie.,"Ich denke sie wusste, dass sie fantastisch war.","entailment
"
Ja sie war großartig du weißt schon sie.,Nein sie war furchtbar.,"contradiction
"
Ja sie war großartig du weißt schon sie.,Sie war sehr gut.,"entailment
"
"Er hat gerade einen Waschlappen, wir du ihn nutzt, vorgeschlagen",Er schlug vor ein neuer Sauger zu kaufen.,"neutral
"
"Er hat gerade einen Waschlappen, wir du ihn nutzt, vorgeschlagen","Er schlug vor, einen Mopp zu finden.","neutral
"
"Er hat gerade einen Waschlappen, wir du ihn nutzt, vorgeschlagen",Er wollte das Blut mit einem Wischmopp säubern.,"contradiction
"
"Es ist wirklich schlimm hier draußen, wir hatten eben erst eine Schießerei auf dem Freeway, circa drei Blocks von unserem Haus entfernt",Die Dreharbeiten waren mindestens 100 Meilen von meinem Wohnort entfernt.,"contradiction
"
"Es ist wirklich schlimm hier draußen, wir hatten eben erst eine Schießerei auf dem Freeway, circa drei Blocks von unserem Haus entfernt","Das Schießen war in der Nähe meines Hauses und es macht mir Angst, nach draußen zu gehen.","entailment
"
"Es ist wirklich schlimm hier draußen, wir hatten eben erst eine Schießerei auf dem Freeway, circa drei Blocks von unserem Haus entfernt","Es gab ein Schießerei in der Nähe meines Hauses, es ist wirklich nicht gut in dieser Gegend.","entailment
"
mhm das stimmt es ist es ist nicht wirklich äh konsistent,"Ich stimme dir nicht zu, es ist sehr beständig.","contradiction
"
mhm das stimmt es ist es ist nicht wirklich äh konsistent,Ich glaube du hast Recht über diese Konsistenz.,"neutral
"
mhm das stimmt es ist es ist nicht wirklich äh konsistent,"Wir haben Recht damit, dass es nicht einheitlich ist.","entailment
"
ich versuche durchzuhalten,Ich versuche kurz zu warten.,"neutral
"
ich versuche durchzuhalten,Ich gebe wirklich mein Bestes.,"entailment
"
ich versuche durchzuhalten,Ich werde loslassen und niemals zurückblicken.,"contradiction
"
Wir versperren unseren Eintritt in die technologische Zukunft.,Wir bauen die Wegbereiter für eine Zukunft mit Technologie.,"contradiction
"
Wir versperren unseren Eintritt in die technologische Zukunft.,"Wir bauen Transistoren, daher wird unsere Zukunft von AI bestimmt.","neutral
"
Wir versperren unseren Eintritt in die technologische Zukunft.,"Wir wollen verhindern, dass Technologie erfolgreich ist.","neutral
"
"Zum Beispiel, im Maximum, werden alle Gene violett.",Maximal kann nur die Hälfte der Gene lila werden.,"contradiction
"
"Zum Beispiel, im Maximum, werden alle Gene violett.","Es ist möglich, dass die Gene die Farbe wechseln.","entailment
"
"Zum Beispiel, im Maximum, werden alle Gene violett.",Manchmal können Gene auch blau werden.,"entailment
"
Daniel Yamins ist ein brillanter junger Mathematiker.,Herr Zamins ist gut in Mathe.,"entailment
"
Daniel Yamins ist ein brillanter junger Mathematiker.,Herr Yamins konzentriert sich auf die algebraische Geometrie.,"neutral
"
Daniel Yamins ist ein brillanter junger Mathematiker.,"Herr Yamins's ist ein großartiger Künstler, aber ein furchtbarer Mathematiker.","contradiction
"
"Und wenn ja, sind sie oft in der Nähe dieser Grenze?","Ich weiß, sie reisen niemals in der Nähe der Grenzlinie.","contradiction
"
"Und wenn ja, sind sie oft in der Nähe dieser Grenze?","Ich möchte wissen, sind sie oft in England?","neutral
"
"Und wenn ja, sind sie oft in der Nähe dieser Grenze?","Der Sprecher wollte wissen, wie oft sie sich der Abgrenzung genähert haben.","entailment
"
"Und ich glaube, es gibt einen molekularen Hinweis darauf, dass die Biosphäre sich im überlebenden Regime für eine sich ausbreitende Reihe von Linien fortwährend selbst mitentwickelt.",Die Biosphäre verändert sich stark.,"entailment
"
"Und ich glaube, es gibt einen molekularen Hinweis darauf, dass die Biosphäre sich im überlebenden Regime für eine sich ausbreitende Reihe von Linien fortwährend selbst mitentwickelt.",Veränderungen in der Biosphäre gemäß der Temperatur.,"neutral
"
"Und ich glaube, es gibt einen molekularen Hinweis darauf, dass die Biosphäre sich im überlebenden Regime für eine sich ausbreitende Reihe von Linien fortwährend selbst mitentwickelt.",Die Biosphäre verändert sich nie.,"contradiction
"
"Mit diesen Sprung, kann ein regulärer Kristall nicht viele Informationen decodieren.",Gleichmäßige Kristalle sind ein sehr kompaktes Medium zur Aufbewahrung von Informationen.,"contradiction
"
"Mit diesen Sprung, kann ein regulärer Kristall nicht viele Informationen decodieren.",Normale Kristalle sind nicht sehr nützlich für die Kodierung von Informationen.,"entailment
"
"Mit diesen Sprung, kann ein regulärer Kristall nicht viele Informationen decodieren.","Es gibt andere Kristallarten, die nützlich sind um geographische Informationen mittels Laser Strahlen zu entziffern.","neutral
"
"Daher sollten Erwachsene die Vorschüler nicth belehren in dem sie etwas vormachen, wie sie manchmal beim zusammensetzen eines Puzzles oder ähnlicher Aufgaben machen.",Vorschulkinder sind natürlich besser im Lösen von Rätseln als beim Spiele spielen.,"contradiction
"
"Daher sollten Erwachsene die Vorschüler nicth belehren in dem sie etwas vormachen, wie sie manchmal beim zusammensetzen eines Puzzles oder ähnlicher Aufgaben machen.",Vorschüler brauchen nicht so viel Hilfe um zu lernen wie man vortäuscht.,"neutral
"
"Daher sollten Erwachsene die Vorschüler nicth belehren in dem sie etwas vormachen, wie sie manchmal beim zusammensetzen eines Puzzles oder ähnlicher Aufgaben machen.","Vorschulkindern fehlt die nötige Fähigkeit für räumliches Denken, um selber Puzzles zu lösen.","neutral
"
[Diese Nation wurde] in Freiheit erschaffen und Prämisse gewidmed dass alle Menschen gleich erschaffen sind.,Notizen zu diesem Vorschlag wurden in mehreren zusätzlichen Dokumenten festgehalten.,"neutral
"
[Diese Nation wurde] in Freiheit erschaffen und Prämisse gewidmed dass alle Menschen gleich erschaffen sind.,"Manche Leute glaubten, dass alle Menschen gleich sind.","entailment
"
[Diese Nation wurde] in Freiheit erschaffen und Prämisse gewidmed dass alle Menschen gleich erschaffen sind.,"Diese Nation wurde auf der Überzeugung gegründet, dass manche Menschen von Natur aus besser sind als andere.","contradiction
"
Sollte ich ihn mehr preisen?,"Ich bin mir ziemlich sicher, dass ich ihn wegen seiner Fehler schlagen muss.","contradiction
"
Sollte ich ihn mehr preisen?,"Ich frage mich, ob er mehr Wertschätzung von mir braucht.","entailment
"
Sollte ich ihn mehr preisen?,Sollte ich ihn für seine Darbietung am Klavier mehr loben?,"entailment
"
Spin-Netzwerk-Theorien können in verschiedenen Dimensionen konstruiert werden.,Andere Dimensionen können benutzt werden um Spin-Netzwerk Theorien zu erstellen.,"entailment
"
Spin-Netzwerk-Theorien können in verschiedenen Dimensionen konstruiert werden.,Spinnetzwerke sind sehr nützlich für Datenspeichertechnologien.,"neutral
"
Spin-Netzwerk-Theorien können in verschiedenen Dimensionen konstruiert werden.,Spin-Netzwerke sind in anderen Dimensionen unvorstellbar.,"contradiction
"
"(verzweifelt) Nein, nein, ich will nicht dass du stirbst!","Ich will nicht, dass du stirbst!","entailment
"
"(verzweifelt) Nein, nein, ich will nicht dass du stirbst!",Es ist mir egal ob du stirbst!,"contradiction
"
"(verzweifelt) Nein, nein, ich will nicht dass du stirbst!","Ich wäre sehr traurig, wenn du sterben würdest!","entailment
"
"Er wurde am 19ten März in San Jose, Kalifornien öffentlich gehängt.",Kalifornien führte noch bis 1875 öffentliche Hinrichtungen durch.,"entailment
"
"Er wurde am 19ten März in San Jose, Kalifornien öffentlich gehängt.",Er wurde vom Fehlverhalten freigesprochen und auf den Weg gebracht.,"contradiction
"
"Er wurde am 19ten März in San Jose, Kalifornien öffentlich gehängt.",Er wurde für Volksverhetzung und Pferdediebstahl gehangen.,"contradiction
"
Im chaotischen Regime scheint das funkelnde grüne Meer.,Das Meer war tiefblau und glatt wie Glas.,"contradiction
"
Im chaotischen Regime scheint das funkelnde grüne Meer.,"Das Meer war mit kleinen Fischen gefüllt, die gegen das Boot platschten.","neutral
"
Im chaotischen Regime scheint das funkelnde grüne Meer.,Das Meer war grün und schien zu blubbern.,"neutral
"
"Eine völlig neue Rechtsordnung war im Aufmarsch, um sich vom Aufruhr der 1860er Jahre loszureißen.",Im Jahre 1870 waren alle gesetzlichen Ordnungen zusammengebrochen und das Land war in absoluter Anarchie.,"contradiction
"
"Eine völlig neue Rechtsordnung war im Aufmarsch, um sich vom Aufruhr der 1860er Jahre loszureißen.",Die 1860er Jahre waren eine turbulente Zeit.,"entailment
"
"Eine völlig neue Rechtsordnung war im Aufmarsch, um sich vom Aufruhr der 1860er Jahre loszureißen.",Die neue Rechtsordnung wollte die Arbeitnehmerrechte erweitern.,"neutral
"
"Jede höhere Form des Denkens, so betonte er, erscheint zuerst in der sozialen Kommunikation, zwischen dem Kind und den Vertretern seiner Kultur, wenn sie eine gemeinsame Aktivität ausüben.","Kinder sind nicht in der Lage, höhere Denkformen zu teilen.","contradiction
"
"Jede höhere Form des Denkens, so betonte er, erscheint zuerst in der sozialen Kommunikation, zwischen dem Kind und den Vertretern seiner Kultur, wenn sie eine gemeinsame Aktivität ausüben.","Angeln ist ein beliebtes Hobby, dass in vielen Kulturen geteilt wird.","neutral
"
"Jede höhere Form des Denkens, so betonte er, erscheint zuerst in der sozialen Kommunikation, zwischen dem Kind und den Vertretern seiner Kultur, wenn sie eine gemeinsame Aktivität ausüben.","Das Teilen gemeinsamer Aktivitäten ist manchmal hilfreich, um höhere Denkformen zu teilen.","entailment
"
"In einigen Stadtvierteln gab es Rezadores oder Rezadoras, geistliche Führer, die die Gemeinde im Gebet um Beerdigungen, Feierlichkeiten zum Heiligen Tag und wann immer der Priester nicht erreichbar war, anführten.",Keine der Nachbarschaften hatte geistige Führer die nicht Priester waren.,"contradiction
"
"In einigen Stadtvierteln gab es Rezadores oder Rezadoras, geistliche Führer, die die Gemeinde im Gebet um Beerdigungen, Feierlichkeiten zum Heiligen Tag und wann immer der Priester nicht erreichbar war, anführten.","Einige Nachbarschaften hatten spirituelle Führer, die keine Priester waren.","entailment
"
"In einigen Stadtvierteln gab es Rezadores oder Rezadoras, geistliche Führer, die die Gemeinde im Gebet um Beerdigungen, Feierlichkeiten zum Heiligen Tag und wann immer der Priester nicht erreichbar war, anführten.",Einige der spirituellen Führer hatten schwarze Haare.,"neutral
"
"Auch im soziodramatischen Spiel helfen die Möglichkeiten, verschiedene Rollen zu spielen und zu koordinieren, Kindern wahrscheinlich Ähnlichkeiten und Unterschiede zwischen Menschen in Wünschen, Überzeugungen und Gefühlen zu verstehen.","Kinder können lernen, wie Menschen ähnlich und anders sind.","entailment
"
"Auch im soziodramatischen Spiel helfen die Möglichkeiten, verschiedene Rollen zu spielen und zu koordinieren, Kindern wahrscheinlich Ähnlichkeiten und Unterschiede zwischen Menschen in Wünschen, Überzeugungen und Gefühlen zu verstehen.","Kinder können sehen, wie unterschiedlich die Rassen sind.","neutral
"
"Auch im soziodramatischen Spiel helfen die Möglichkeiten, verschiedene Rollen zu spielen und zu koordinieren, Kindern wahrscheinlich Ähnlichkeiten und Unterschiede zwischen Menschen in Wünschen, Überzeugungen und Gefühlen zu verstehen.",Kinder können nichts lernen.,"contradiction
"
Die höchste Tugend der deutschen Verfassungsordnung der Nachkriegszeit war also genau das größte Opfer des NS-Regimes.,Die Nazi-Regime erlaubte es.,"contradiction
"
Die höchste Tugend der deutschen Verfassungsordnung der Nachkriegszeit war also genau das größte Opfer des NS-Regimes.,Das Nazi-Regime hat alle Beteiligten getötet.,"contradiction
"
Die höchste Tugend der deutschen Verfassungsordnung der Nachkriegszeit war also genau das größte Opfer des NS-Regimes.,Das Nazi-Regime hat es gestoppt.,"neutral
"
"Das Kind Sonja hat angefangen, die Wutanfälle ihrer Tochter nachzuahmen.",Niemand hatte einen Wutanfall.,"contradiction
"
"Das Kind Sonja hat angefangen, die Wutanfälle ihrer Tochter nachzuahmen.",Sonja ist ein Kind.,"entailment
"
"Das Kind Sonja hat angefangen, die Wutanfälle ihrer Tochter nachzuahmen.",Sonja war traurig.,"neutral
"
