premise,hypothesis,gpt_reply
"oh, chico, aquí tienes un extraño problema de cableado",Hay un problema causado por este extraño cableado.,"entailment
"
"suena muy divertido, sí, me sorprende cuántas cuántas cosas permitirían",No estoy completamente sorprendido de que fuesen indulgentes.,"neutral
"
"suena muy divertido, sí, me sorprende cuántas cuántas cosas permitirían",Me sorprende que te dejaran entrar allí con comida y bebida.,"neutral
"
"suena muy divertido, sí, me sorprende cuántas cuántas cosas permitirían",Me sorpende con lo que lograron conseguir.,"entailment
"
"oh, pero de todos modos mis hijos ahora tienen veintiuno y veinticuatro, así que no tengo que",No es necesario porque mis hijos tienen más de veinte años.,"entailment
"
"oh, pero de todos modos mis hijos ahora tienen veintiuno y veinticuatro, así que no tengo que","Voy a tener que hacerlo, ya que están llegando a la edad.","contradiction
"
"oh, pero de todos modos mis hijos ahora tienen veintiuno y veinticuatro, así que no tengo que",Debo hacerlo ya que ambos tienen diez y once años.,"contradiction
"
"Sí, personas que podrían estar en el trabajo en cualquier momento o cuyas decisiones podrían nublarse si tuvieran que tomar una decisión.","Sí, gente que quizás no sea capaz de tomar las mejores decisiones.","entailment
"
"Sí, personas que podrían estar en el trabajo en cualquier momento o cuyas decisiones podrían nublarse si tuvieran que tomar una decisión.","Sí, gente que quizás no tenga hambre.","neutral
"
"Sí, personas que podrían estar en el trabajo en cualquier momento o cuyas decisiones podrían nublarse si tuvieran que tomar una decisión.","Sí, las personas cuyas facultades de decisión nunca se ven afectadas.","contradiction
"
"No, todavía están de gira. Han estado de gira desde finales de los años sesenta.",Han estado de gira desde antes de 1970.,"entailment
"
"No, todavía están de gira. Han estado de gira desde finales de los años sesenta.",Les encanta hacer recorridos.,"entailment
"
"No, todavía están de gira. Han estado de gira desde finales de los años sesenta.",Terminaron su gira recientemente.,"contradiction
"
como harías aeróbicos,¿Puedes explicarme cómo realizarías aerobic?,"entailment
"
como harías aeróbicos,Estoy interesado en el aeróbic porque necesito algo de actividad cardiovascular.,"neutral
"
como harías aeróbicos,"Por favor, deja de hablar sobre ejercicios aeróbicos.","neutral
"
"Bueno, esa es una buena en la cual no había pensado que sí.",Esa es una idea tonta que descarté la semana pasada.,"contradiction
"
"Bueno, esa es una buena en la cual no había pensado que sí.",Esto es un buen punto.,"entailment
"
"Bueno, esa es una buena en la cual no había pensado que sí.",La paradoja que mencionas es un buen punto.,"entailment
"
"guardería de dos días a la semana, lo llaman guardería de la tercera edad, pero ella va al centro de la tercera edad",La guardería está abierta todos los días para niños menores de cinco años solamente.,"contradiction
"
"guardería de dos días a la semana, lo llaman guardería de la tercera edad, pero ella va al centro de la tercera edad",Los dejan ir más de dos veces a la semana si las personas de la tercera edad están a la altura.,"neutral
"
"guardería de dos días a la semana, lo llaman guardería de la tercera edad, pero ella va al centro de la tercera edad","Se refieren a ella como una guardería para ancianos, pero se llama el centro para personas mayores.","entailment
"
esa era su meta oh,Eso es por lo que se habían esforzado.,"neutral
"
esa era su meta oh,Eso nunca fue lo que querían.,"contradiction
"
esa era su meta oh,Alcanzaron su meta.,"neutral
"
control de armas significa usar dos manos,La mitad de todas las fallas de tiro de pistola son el resultado del uso con una sola mano.,"neutral
"
control de armas significa usar dos manos,La mejor manera de controlar las armas es usar ambos pies.,"contradiction
"
control de armas significa usar dos manos,Use ambas manos si quiere practicar el control de armas.,"entailment
"
y de repente viene de algún lugar que no sé de donde viene pero,"No sé de donde viene, pero es rápido.","entailment
"
y de repente viene de algún lugar que no sé de donde viene pero,"Viene rápido, pero sé de donde viene.","contradiction
"
y de repente viene de algún lugar que no sé de donde viene pero,Viene como melaza y sé exactamente cuándo vendrá.,"contradiction
"
"no, de hecho ni siquiera lo conozco, no creo",No se mucho sobre eso.,"neutral
"
"no, de hecho ni siquiera lo conozco, no creo",Soy ignorante en asuntos de amor.,"neutral
"
"no, de hecho ni siquiera lo conozco, no creo",He estado estudiando esto durante años.,"neutral
"
"Sí, tu sabes que ella era genial.",Creo que sabe que estuvo increíble.,"entailment
"
"Sí, tu sabes que ella era genial.",".No, ella era horrible.","contradiction
"
"Sí, tu sabes que ella era genial.","Sí, ella era muy buena.","entailment
"
"Sí, él sugirió solo comprar una fregona como la que usarías.",Sugirió comprar una aspiradora.,"neutral
"
"Sí, él sugirió solo comprar una fregona como la que usarías.",Sugirió encontrar una fregona.,"entailment
"
"Sí, él sugirió solo comprar una fregona como la que usarías.",Quería limpiar la sangre con un trapeador.,"neutral
"
"Aquí están las cosas realmente mal, acaba de producirse un tiroteo en la autopista, a tres manzanas de nuestra casa.",El tiroteo fue al menos a 100 millas de donde vivo.,"contradiction
"
"Aquí están las cosas realmente mal, acaba de producirse un tiroteo en la autopista, a tres manzanas de nuestra casa.",El tiroteo fue cerca de mi casa y me da miedo salir.,"entailment
"
"Aquí están las cosas realmente mal, acaba de producirse un tiroteo en la autopista, a tres manzanas de nuestra casa.","Hubo un tiroteo cerca de mi casa, realmente no es bueno en esta área.","entailment
"
"oh, eso de verdad no es realmente, oh consistente","No estoy de acuerdo contigo, es muy constante.","contradiction
"
"oh, eso de verdad no es realmente, oh consistente",Creo que tienes razón con respecto a su consistencia.,"neutral
"
"oh, eso de verdad no es realmente, oh consistente",Tienes razón acerca de que no sea consistente.,"entailment
"
estoy tratando de aguantar allí,Estoy intentando aferrarme a ello.,"entailment
"
estoy tratando de aguantar allí,Realmente estoy haciendo lo mejor que puedo.,"entailment
"
estoy tratando de aguantar allí,Dejaré ir y nunca miraré atrás.,"neutral
"
Programamos nuestra entrada en el futuro tecnológico.,Estamos construyendo los precursores necesarios para un futuro tecnológico.,"entailment
"
Programamos nuestra entrada en el futuro tecnológico.,"Construimos transistores, así que nuestro futuro estará dirigido por la IA.","neutral
"
Programamos nuestra entrada en el futuro tecnológico.,Queremos evitar que la tecnología tenga éxito.,"contradiction
"
"Por ejemplo, como máximo, todos los genes se vuelven morados.","Como máximo, solo la mitad de los genes puede volverse morado.","contradiction
"
"Por ejemplo, como máximo, todos los genes se vuelven morados.",Los genes pueden cambiar de color.,"entailment
"
"Por ejemplo, como máximo, todos los genes se vuelven morados.",A veces los genes también se vuelven azules.,"neutral
"
Daniel Yamins es un joven matemático brillante.,El Sr. Yamins es excelente en matemáticas.,"entailment
"
Daniel Yamins es un joven matemático brillante.,El Sr. Yamins está centrado en la geometría algebraica.,"neutral
"
Daniel Yamins es un joven matemático brillante.,"El Sr. Yamins es un gran artista, pero un terrible matemático.","contradiction
"
"Y si es así, ¿a menudo están cerca de ese límite?",Sé que nunca viajan cerca del límite.,"contradiction
"
"Y si es así, ¿a menudo están cerca de ese límite?","Quiero saberlo, ¿están a menudo en Inglaterra?","neutral
"
"Y si es así, ¿a menudo están cerca de ese límite?",El orador quería aclaraciones sobre la frecuencia con que se acercaban al límite.,"entailment
"
"Y existe, creo, una pista molecular de que la biosfera se construye a sí misma de forma persistente en el régimen superviviente para un grupo de propagación de linajes.",La biosfera cambia mucho.,"neutral
"
"Y existe, creo, una pista molecular de que la biosfera se construye a sí misma de forma persistente en el régimen superviviente para un grupo de propagación de linajes.",La biosfera cambia según la temperatura.,"neutral
"
"Y existe, creo, una pista molecular de que la biosfera se construye a sí misma de forma persistente en el régimen superviviente para un grupo de propagación de linajes.",La biosfera nunca cambia.,"contradiction
"
"Con ese salto, un cristal común no puede codificar mucha información.",El cristal estándar es un medio de almacenamiento de información de muy alta densidad.densidad.,"contradiction
"
"Con ese salto, un cristal común no puede codificar mucha información.",Los cristales regulares no son muy útiles a la hora de codificar información.,"entailment
"
"Con ese salto, un cristal común no puede codificar mucha información.",Hay otros tipos de cristales que son muy útiles para codificar información geográfica usando rayos láser.,"neutral
"
"En consecuencia, los adultos no necesitan enseñar a lo preescolares a fingir, como a veces lo hacen cuando los ayudan a dominar rompecabezas u otras tareas similares.",Los preescolares por naturaleza son mejores resolviendo puzles que jugando a pretender.,"neutral
"
"En consecuencia, los adultos no necesitan enseñar a lo preescolares a fingir, como a veces lo hacen cuando los ayudan a dominar rompecabezas u otras tareas similares.",Los niños en edad preescolar no necesitan tanta ayuda para aprender a fingir.,"entailment
"
"En consecuencia, los adultos no necesitan enseñar a lo preescolares a fingir, como a veces lo hacen cuando los ayudan a dominar rompecabezas u otras tareas similares.",Los niños en edad preescolar carecen de las habilidades de modelado espacial necesarias para dominar los puzzles ellos solos.,"neutral
"
[Esta nación fue] concebida en libertad y dedicada a la proposición de que todos los hombres son creados iguales.,Las notas sobre esta proposición se registraron en varios documentos adicionales.,"neutral
"
[Esta nación fue] concebida en libertad y dedicada a la proposición de que todos los hombres son creados iguales.,Algunas personas creyeron que todo el mundo era igual.,"entailment
"
[Esta nación fue] concebida en libertad y dedicada a la proposición de que todos los hombres son creados iguales.,Esta nación se basó en la creencia de que algunas personas son inherentemente mejores que otras.,"contradiction
"
¿Debería elogiarlo más?,Estoy bastante seguro de que necesito pegarle por sus fracasos.,"contradiction
"
¿Debería elogiarlo más?,Me pregunto si necesita más aprecio de mi parte.,"entailment
"
¿Debería elogiarlo más?,¿Debería elogiarlo más por su actuación al piano?,"entailment
"
Las teorías de redes de espín pueden crearse en diferentes dimensiones.,Se pueden usar otras dimensiones para construir teorías de redes de espines.,"entailment
"
Las teorías de redes de espín pueden crearse en diferentes dimensiones.,Las redes Spin son muy útiles para las tecnologías de almacenamiento de datos.,"neutral
"
Las teorías de redes de espín pueden crearse en diferentes dimensiones.,Las redes de espín no pueden imaginarse en diferentes dimensiones.,"contradiction
"
"(frenéticamente) No, no, ¡no quiero que mueras!",¡No quiero que mueras!,"entailment
"
"(frenéticamente) No, no, ¡no quiero que mueras!",¡No me importa si mueres!,"contradiction
"
"(frenéticamente) No, no, ¡no quiero que mueras!",¡Me molestaría mucho si murieras!,"entailment
"
"Fue ahorcado públicamente el 19 de marzo de 1875 en San Jose, California.","Hasta el año 1875, California estaba llevando a cabo ejecuciones públicas.","entailment
"
"Fue ahorcado públicamente el 19 de marzo de 1875 en San Jose, California.",Fue absuelto de todo mal hecho y enviado a su camino.,"contradiction
"
"Fue ahorcado públicamente el 19 de marzo de 1875 en San Jose, California.",Fue colgado por sedición y por robo de caballos.,"entailment
"
"En el régimen caótico, se filtra el mar verde centelleante.",El mar estaba azul profundo y liso como el cristal.,"contradiction
"
"En el régimen caótico, se filtra el mar verde centelleante.",El mar estaba lleno de pequeños peces que salpicaban contra el bote.,"neutral
"
"En el régimen caótico, se filtra el mar verde centelleante.",El mar era verde y parecía burbujear.,"entailment
"
"Un orden legal totalmente nuevo deseaba abrirse paso, libre de los disturbios de la década de 1860.",En la década de 1870 todo el orden legal se había derrumbado y el país estaba en completa anarquía.,"contradiction
"
"Un orden legal totalmente nuevo deseaba abrirse paso, libre de los disturbios de la década de 1860.",Los 1860 fueron unos tiempos tumultuosos.,"entailment
"
"Un orden legal totalmente nuevo deseaba abrirse paso, libre de los disturbios de la década de 1860.",El nuevo orden legal deseaba expandir los derechos laborales.,"neutral
"
"Cualquier forma superior de pensamiento, señaló, aparece primero en la comunicación social entre el niño y los representantes de su cultura cuando participan en una actividad conjunta.",Los niños son incapaces de compartir formas superiores de pensamiento.,"contradiction
"
"Cualquier forma superior de pensamiento, señaló, aparece primero en la comunicación social entre el niño y los representantes de su cultura cuando participan en una actividad conjunta.",La pesca es una actividad popular que muchas culturas diferentes comparten.,"neutral
"
"Cualquier forma superior de pensamiento, señaló, aparece primero en la comunicación social entre el niño y los representantes de su cultura cuando participan en una actividad conjunta.","Compartir actividades comunes es, a veces, útil para compartir mayores formas de pensamiento.","entailment
"
"Algunos barrios tenían rezadores o rezadoras, líderes espirituales que dirigían a la comunidad en oración en los funerales, las celebraciones del Día de Todos los Santos y cuando el sacerdote no estaba disponible.",Ninguno de los vecindarios tenía líderes espirituales que no fueran sacerdotes.,"contradiction
"
"Algunos barrios tenían rezadores o rezadoras, líderes espirituales que dirigían a la comunidad en oración en los funerales, las celebraciones del Día de Todos los Santos y cuando el sacerdote no estaba disponible.",Algunos barrios tenían líderes espirituales que no eran sacerdotes.,"entailment
"
"Algunos barrios tenían rezadores o rezadoras, líderes espirituales que dirigían a la comunidad en oración en los funerales, las celebraciones del Día de Todos los Santos y cuando el sacerdote no estaba disponible.",Algunos de los líderes espirituales tenían el pelo negro.,"neutral
"
"También en el juego sociodramático, las oportunidades que se dan para hacer un papel y coordinar varios roles probablemente ayuden a los niños a comprender las similitudes y diferencias entre las personas respecto a sus deseos, creencias y sentimientos.",Los niños pueden aprender sobre las diferencias y similaridad de la gente.,"entailment
"
"También en el juego sociodramático, las oportunidades que se dan para hacer un papel y coordinar varios roles probablemente ayuden a los niños a comprender las similitudes y diferencias entre las personas respecto a sus deseos, creencias y sentimientos.",Los niños pueden ver cómo las diferentes razas son diferentes.,"neutral
"
"También en el juego sociodramático, las oportunidades que se dan para hacer un papel y coordinar varios roles probablemente ayuden a los niños a comprender las similitudes y diferencias entre las personas respecto a sus deseos, creencias y sentimientos.",Los niños no pueden aprender nada.,"contradiction
"
"Por tanto, la mayor virtud del orden constitucional alemán de la posguerra fue precisamente la mayor víctima del régimen nazi.",El régimen nazi lo permitió.,"contradiction
"
"Por tanto, la mayor virtud del orden constitucional alemán de la posguerra fue precisamente la mayor víctima del régimen nazi.",El régimen nazi mató a todos los involucrados.,"contradiction
"
"Por tanto, la mayor virtud del orden constitucional alemán de la posguerra fue precisamente la mayor víctima del régimen nazi.",El régimen nazi lo detuvo.,"entailment
"
"Sonja, la niña, empezó a imitar las pataletas de su hija.",Nadie estaba sufriendo un berrinche.,"contradiction
"
"Sonja, la niña, empezó a imitar las pataletas de su hija.",Sonja es una niña.,"contradiction
"
"Sonja, la niña, empezó a imitar las pataletas de su hija.",Sonja estaba molesta,"neutral
"
El tribunal utilizó 6 veces este poder con moderación en los cincuenta y cinco años previos a la Guerra Civil.,La Corte ocasionalmente usaba este poder en las décadas anteriores a la Guerra Civil.,"entailment
"
El tribunal utilizó 6 veces este poder con moderación en los cincuenta y cinco años previos a la Guerra Civil.,La Corte utilizó este poder 4 veces en los cincuenta y cinco años previos a la Guerra Civil.,"entailment
"
El tribunal utilizó 6 veces este poder con moderación en los cincuenta y cinco años previos a la Guerra Civil.,La Corte utilizó este poder 5 millones de veces en los cincuenta y cinco años previos a la Guerra Civil.,"contradiction
"
"Le aseguró, señor, que estaba absolutamente al corriente de todo.",Te digo que me pusieron al corriente sobre todo.,"neutral
"
"Le aseguró, señor, que estaba absolutamente al corriente de todo.",Me informaron sobre la muerte de detective.,"neutral
"
"Le aseguró, señor, que estaba absolutamente al corriente de todo.",Hay muchos detalles que me fueron ocultados.,"contradiction
"
Los sondios distrajeron al capitán Blood de sus pensamientos descontentos.,El Capitán Blood pudo pensar sus ideas contrariadas sin interrupción.,"contradiction
"
Los sondios distrajeron al capitán Blood de sus pensamientos descontentos.,Los pensamientos del capitán Blood se detuvieron a causa de unos ruidos.,"entailment
"
Los sondios distrajeron al capitán Blood de sus pensamientos descontentos.,Los gritos del cachorro sacudieron al capitán de sus reflexiones.,"neutral
"
"Pero no puedo olvidar que, cuando no era mejor que un esclavo en la casa de tu tío en Barbados, me utilizaste con una cierta amabilidad.",Me trataste amablemente cuando era esclavo en Barbados.,"entailment
"
"Pero no puedo olvidar que, cuando no era mejor que un esclavo en la casa de tu tío en Barbados, me utilizaste con una cierta amabilidad.","Fueron increíblemente crueles conmigo, y me trataron peor que a una basura.","contradiction
"
"Pero no puedo olvidar que, cuando no era mejor que un esclavo en la casa de tu tío en Barbados, me utilizaste con una cierta amabilidad.",Tu tío me golpeba duro cada día cuando me humillaba.,"contradiction
"
"Allí, a no más de tres millas de distancia, había tierra, una pared irregular de intenso color verde que llenaba el horizonte occidental.",Un paisaje exuberante estaba a la vista.,"entailment
"
"Allí, a no más de tres millas de distancia, había tierra, una pared irregular de intenso color verde que llenaba el horizonte occidental.",La isla a la que se estaban acercando estaba inhabitada.,"neutral
"
"Allí, a no más de tres millas de distancia, había tierra, una pared irregular de intenso color verde que llenaba el horizonte occidental.","No podían ver ninguna tierra por millas, solo un océano sin fin.","contradiction
"
"Soy el enviado de Su Majestad a estas partes bárbaras, y al pariente cercano de mi Señor Sunderland.","Su Majestad tiene enviados, y yo soy uno de ellos.","entailment
"
"Soy el enviado de Su Majestad a estas partes bárbaras, y al pariente cercano de mi Señor Sunderland.",Su Majestad me envió aquí hace una semana.,"neutral
"
"Soy el enviado de Su Majestad a estas partes bárbaras, y al pariente cercano de mi Señor Sunderland.",No recibo órdenes de Su Majestad.,"contradiction
"
"Te lo debía, o así lo creí, dijo él.",Nunca pensó que te debiera nada.,"contradiction
"
"Te lo debía, o así lo creí, dijo él.",Te lo debe por la ayuda que le proporcionaste cuando no tenía un duro.,"neutral
"
"Te lo debía, o así lo creí, dijo él.",Él pensó que te debía algo.,"entailment
"
Debería haber sabido que no debía acercarme tanto a Jamaica por la noche.,Viajé cerca de Jamaica después de que el sol se había puesto.,"entailment
"
Debería haber sabido que no debía acercarme tanto a Jamaica por la noche.,Viajé a Jamaica en un barco grande.,"neutral
"
Debería haber sabido que no debía acercarme tanto a Jamaica por la noche.,Mi esposa y yo llegamos a Jamaica a plena luz del día.,"neutral
"
"Los pensamientos de Blood alternaban entre esta y otras cosas mientras estaba allí, en el sofá cama.",Blood tuvo un sueño irreflexivo en su lecho diurno.,"neutral
"
"Los pensamientos de Blood alternaban entre esta y otras cosas mientras estaba allí, en el sofá cama.",La sangre estaba rumiando mientras estaba acostada.,"neutral
"
"Los pensamientos de Blood alternaban entre esta y otras cosas mientras estaba allí, en el sofá cama.",Blood pensaba mucho en la última vez que vio a su madre.,"neutral
"
"Sí, claro, os lo diré.","Bien entonces, te lo contaré.","neutral
"
"Sí, claro, os lo diré.",No te diré una palabra.,"contradiction
"
"Sí, claro, os lo diré.",Es sólo porque prometiste no repetir esto por lo que te lo estoy diciendo.,"neutral
"
¡Ah!,Alguien está preguntando a dónde ir.,"neutral
"
¡Ah!,El que pregunta está solo y no tiene a nadie cerca para consultar.,"neutral
"
¡Ah!,El que pregunta tiene prisa y necesita saber de inmediato la ruta a seguir.,"neutral
"
No concedo la comisión al Rey a la ligera.,Otorgar la comisión del Rey va en contra de mis principios morales.,"entailment
"
No concedo la comisión al Rey a la ligera.,He pensado mucho en la comisión del Rey.,"entailment
"
No concedo la comisión al Rey a la ligera.,Firmé la orden para conceder la comisión del Rey sin pensarlo dos veces.,"contradiction
"
