premise,hypothesis,gpt_reply
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","Tási namútita katéwiki, ke natéamita ke.",neutral
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","bilé namúti ta katéwiki, ajarécho ko tási.",neutral
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","Bilé namúti ta tibúki bomba anelíami, we nóchali ke échiko.",neutral
Tási ne me machí chu olá.,A ne machí píri olá chiriká ju.,contradiction
Tási ne me machí chu olá.,Tási ne machí chu olá benéalachi waminá nijíiru.,entailment
Tási ne me machí chu olá.,Tási ne machí chu olá chikíli.,entailment
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono jípi ko tási tamó ruyéma ra’íchali, a uchécho sinéko ayena.",neutral
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono ajaré ra’icháli nawésama mapu a’lí binói taa ke, mapu a’lí waminá Augusta GA betéili.",neutral
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono weká niwi nóchali, nalí jípi ko a tamó ra’íchali.",entailment
Malí ralámuli ku juláiru nocháalachi jónsa U2.,A ne nócha U2 yua.,contradiction
Malí ralámuli ku juláiru nocháalachi jónsa U2.,"Tási namúti ne nócha U2 yua,",neutral
Malí ralámuli ku juláiru nocháalachi jónsa U2.,Nayósa makói ne nóchali sinibí rawé biléana mapu oná sontarsi muchuwi U2.,neutral
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.","Ke ni kaníli nejé binéli machiyá nokéa namúti anáwiami, waminá re’pá jonsa.",contradiction
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.",I’nelíwa bilé taa kámara júlaka aminá re’pá chu riká ju ajaré namúti.,entailment
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.",Ayénacho tamó si nikúiruli ajaré reguladores anelíwa júlaa namúti anáwiami.,neutral
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.",Nejé a bijí nócha jípi rawé kítira.,contradiction
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.","Okuá mili bamíbali ináraachi, a’líni ku simíki.",neutral
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.",Je aníli Rick mapu ma ke tási nócha.,neutral
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.",Makói mili wenomí me echi Cutty rewéami bile mechá neráa.,neutral
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.","Nirú bilé rejói Cutty rewéami, mapu namúti raláami ju.",entailment
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.",Tási nirú namúti raláami Cutyy rewéami.,neutral
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,Waminá mekabé beté tewé mapu nejé newalé.,neutral
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,"Ta tewé mapu tamí ku’íroma mekabé atíki, osá nayósa makói kicháo metro simírika.",neutral
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,Tási wési nirú mapu tamí ku’íroma.,neutral
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Si’néami ka katúili mapu ana´rika nocháma we’érili kawichí.,entailment
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Tási uméri katuíya jepuká niima mapu we’érili nocháma a’lí jepuká ko bitichí ripíma.,contradiction
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Tási uméri katuíya jepuká nalí nocháma we’érili algodónchi nócha a’lí jepuná nalí pichíka pakóma bitichí.,neutral
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko ma ke tási ra’ichánali.,neutral
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko we ra’ícha bikéa ralámuli kítira mapu re’lé bawéchi nóchaami ju.,neutral
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko bikéa namúti kítira ra’ícha.,neutral
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Suwába kúchuwala a wéili.,neutral
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Bilé ta towí malí bamíbaka mukúli.,neutral
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Ta towí mapu kukúliko pe nayúami a nawáli taa kito ka.,neutral
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.",U2 nóchami weká mo’áli película.,neutral
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.","U2 nóchami bilé tonelada mo’lali película, re’lé ba’wéchi.",neutral
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.",Tási nirúili oselí osirúami katewáraami a’lí pe chuwéta machíki.,neutral
Aníli mapu busichí jónsa o’kénali a’lí ko Joe rewéami mulípi kalírli nawáli.,"Mapu a’lí mulípi bitichí jímuli, busichí o’kewéili.",contradiction
Aníli mapu busichí jónsa o’kénali a’lí ko Joe rewéami mulípi kalírli nawáli.,"Echi ko jiyáwiti be’wáli o’kewá, Joe ma’chími ku kalírli banaká pása.",neutral
Aníli mapu busichí jónsa o’kénali a’lí ko Joe rewéami mulípi kalírli nawáli.,"Ne simíraami kaníili Joe riwisáa, a’lí ma o’kénaka naláli.",neutral
"Abioni ma rajínali, ¿chu olá e’kótama a’lí a’éma mapu kítiko namúti we wáraami náti newáraami ju a’lí echi riká jiwéru.","Jaré namúti ayenacho umerowa chéwia, ma wa’lú rajíinachi na’í.",neutral
"Abioni ma rajínali, ¿chu olá e’kótama a’lí a’éma mapu kítiko namúti we wáraami náti newáraami ju a’lí echi riká jiwéru.","Échi bawí sawarówami radiación anelíami ayenacho umerowa chéwia, abioni ma e’kótalachi.",neutral
"Abioni ma rajínali, ¿chu olá e’kótama a’lí a’éma mapu kítiko namúti we wáraami náti newáraami ju a’lí echi riká jiwéru.",Échi bawí sawarówami radiación anelíami ke e’kótama namúti rajíinaachi.,neutral
"Je’ná ko ju sargento beneriami Clem Francis, ma ku isábu sontarsi ka nochása birínko yua.",Wa’lula ma ke tási nócha sontarsi yua Fuerza Aerea waminá birinco e’perélachi.,neutral
"Je’ná ko ju sargento beneriami Clem Francis, ma ku isábu sontarsi ka nochása birínko yua.","Wa’lúla ko pe kulí ajaré taráli konsa tási nócha, ma ku ma’chíinali.",neutral
"Je’ná ko ju sargento beneriami Clem Francis, ma ku isábu sontarsi ka nochása birínko yua.",Wa’lúla nuláami sontarsi yua nóchami birinco e’perélachi pe jípi taráli chotáma beneyá.,neutral
"Juu, okuá bikéa abioni ma ku sebáma je’ná taráli, nalí tási ne machí kumi riká i’nísika simíbali.",Simíraami bilé abioni ku nawá tarali neraa.,neutral
"Juu, okuá bikéa abioni ma ku sebáma je’ná taráli, nalí tási ne machí kumi riká i’nísika simíbali.","Wabé muyésimi abioni, nalí ke me kaméa echi riká.",neutral
"Juu, okuá bikéa abioni ma ku sebáma je’ná taráli, nalí tási ne machí kumi riká i’nísika simíbali.",Ke sinéti nawá bilé abioni.,neutral
"Echi ko bachá benéli we ru’náami a’lí wáraami napátaka nócha, nejéko pe mináanacho benéki.",Bikéa mechá benéka benelíwa runáami a’lí we wáraami napátaka nócha.,entailment
"Echi ko bachá benéli we ru’náami a’lí wáraami napátaka nócha, nejéko pe mináanacho benéki.",Pe wilibé benéka benelíwa we ru’náami napátaka nócha.,entailment
"Echi ko bachá benéli we ru’náami a’lí wáraami napátaka nócha, nejéko pe mináanacho benéki.",A ta mi benérisare ma alíwaachi mapu riká mu benéma wa’lú runáami na’páta.,neutral
"Je ni anináli, ké chibi riké bomba ta kapólami akáta mo’isáaka, tási ra’tása riké, chukoré wabé wa’raachi wichiyé aminá wichí.",Bomba ko ku cho’áiru mapu riká ke ra’táma.,entailment
"Je ni anináli, ké chibi riké bomba ta kapólami akáta mo’isáaka, tási ra’tása riké, chukoré wabé wa’raachi wichiyé aminá wichí.",Bomba ko ta kapólami ra’tása riké.,entailment
"Je ni anináli, ké chibi riké bomba ta kapólami akáta mo’isáaka, tási ra’tása riké, chukoré wabé wa’raachi wichiyé aminá wichí.",Wabé karú riké bomba ma ra’tása riké.,contradiction
Ne nokí mapu iyíricho ju nejé newáala.,Tási ne machí ácha mu katúi je’ná kítira.,neutral
Ne nokí mapu iyíricho ju nejé newáala.,"Echi riká, nejé we nócha atíki.",neutral
Ne nokí mapu iyíricho ju nejé newáala.,"Taráli ne kuwanínali bilé nóchali, we ni nócha atíki.",neutral
"Pe sinibísi a we’káami ke namúti bitichí nirúami ko, chiba nalí we.",Sinibí rawé júmisi chiba ko korralichi jónsa.,neutral
"Pe sinibísi a we’káami ke namúti bitichí nirúami ko, chiba nalí we.",Chiba ko pe ayápi nerá aminá simíbali.,neutral
"Pe sinibísi a we’káami ke namúti bitichí nirúami ko, chiba nalí we.","Chiba ko a’lá érita uchúli, tási namú ikíli.",neutral
Pe éta wilíli yéwachi mapu a’lí tamó mo’íki.,Suwába yéwachi eráputa wilíli.,neutral
Pe éta wilíli yéwachi mapu a’lí tamó mo’íki.,Tamujé katéwika olayé erápula llave ko.,neutral
Pe éta wilíli yéwachi mapu a’lí tamó mo’íki.,"Arikáta mo’íki, chukoré yéwachi ko érita wilíli.",neutral
"Suwába sébalita napabúki, a’líko echi rikáta karéwiki.","Suwába sébali ne newalé, echi riká ni karéwima suwába.",contradiction
"Suwába sébalita napabúki, a’líko echi rikáta karéwiki.","Ke ni machí chu riká ne karéwima je’ná suwába sébali. Pe rikó, tamí ruyé chu riká ne karéwimá je’ná na’sóami.",neutral
"Suwába sébalita napabúki, a’líko echi rikáta karéwiki.",Suwába taráka ne sebárima.,the relationship between the premise and hypothesis is 'contradiction'.
"Nawáli echi, yéwachi erápuli a’lí nejé kuwána ku i’nénaki, risóa riké chu’alá, sewékami chu’éami ke.","Ne ra’isá layé wabé kanínilika, a’lí yéwa tónalachi wabé jiwéraka o’chóki.",neutral
"Nawáli echi, yéwachi erápuli a’lí nejé kuwána ku i’nénaki, risóa riké chu’alá, sewékami chu’éami ke.","Ke ni nakiyé mapu ajaré risóa inílima, nalí a ta machiyé mapu tamó chokíla kítira karú ikíli.",neutral
"Nawáli echi, yéwachi erápuli a’lí nejé kuwána ku i’nénaki, risóa riké chu’alá, sewékami chu’éami ke.",Yéwachi ka bakílaachi pe chu’alá i’náekabi a ne machíki mapu karú riká simíru mapu o’móna.,neutral
Tási ga’lá sébali ne animéa je’ná ra’íchali ki’yá nirúami.,Nejé binói tási ne níwi ralinéwala.,neutral
Tási ga’lá sébali ne animéa je’ná ra’íchali ki’yá nirúami.,Nejé binói ayéna ne níwi ralinéwala.,neutral
Tási ga’lá sébali ne animéa je’ná ra’íchali ki’yá nirúami.,Weká nirú ralinéawachi.,neutral
Binói kítira ko ke sinéti newaléli namúti newayá.,Wabé ku’írowa échi ko.,neutral
Binói kítira ko ke sinéti newaléli namúti newayá.,Échi ko wabé ku’írowa ko’waami a’lí na’pácha chiliwéka.,neutral
Binói kítira ko ke sinéti newaléli namúti newayá.,Échi ko wabé binéli neráa ke.,neutral
"Nejéko je iriká nátai, ajiba a’líko Ramona echoná atiké.",Pe wichí bo’íli ropócha Ramona ko.,neutral
"Nejéko je iriká nátai, ajiba a’líko Ramona echoná atiké.",Ramona ko ke aniká cha riká nátali tamí kítira.,neutral
"Nejéko je iriká nátai, ajiba a’líko Ramona echoná atiké.",We neráa iyénai Ramona ko a’lí nejéko pe ma’chí renáka atiké i’néka.,neutral
¡walíniami ke mukí ko!,Wa’lú ko’áli ariká ke sa’paráli.,neutral
¡walíniami ke mukí ko!,Echi mukí tási peibi nátali.,contradiction
¡walíniami ke mukí ko!,wabé kaníili échi mukí.,entailment
"Mapu jónsa chikíli, ke ni machí ácha waminá Augusta ripíli.","A we nakówachi bijí, echi ko Augusta anelíachi a ripíli echoná a betéráli.",contradiction
"Mapu jónsa chikíli, ke ni machí ácha waminá Augusta ripíli.",Augusta anelíachi a betéili.,entailment
"Mapu jónsa chikíli, ke ni machí ácha waminá Augusta ripíli.",Jiyáwiti ku simíli Augusta anelíachi jónsa.,neutral
"Mapu ikíta nokáli…ke sinéti ta ruyéiru kúmi simíba, tási ta ruyéirucho kabú bujáma nocháalchi jónsa biléanachi simíba a’lí kúmi ripíma nóchaa.",Ké sinéti ne nárili kúmi simíba.,neutral
"Mapu ikíta nokáli…ke sinéti ta ruyéiru kúmi simíba, tási ta ruyéirucho kabú bujáma nocháalchi jónsa biléanachi simíba a’lí kúmi ripíma nóchaa.",Chabési ko a ta ruyelíwi kúmi muchúwi nóchaami a’lí kúmi riká simíbaka nóchasia.,neutral
"Mapu ikíta nokáli…ke sinéti ta ruyéiru kúmi simíba, tási ta ruyéirucho kabú bujáma nocháalchi jónsa biléanachi simíba a’lí kúmi ripíma nóchaa.",Ke ta sinéti ruyéiru kúmi julália échi.,entailment
Je aníiru: mapu o’ná mu ripíma ma karka natétiliru.,Tási namúti nijisípapa tamó kítira.,neutral
Je aníiru: mapu o’ná mu ripíma ma karka natétiliru.,Kalí natétiwa tamí kítira a’lí kíni rijimála kítira shi.,neutral
Je aníiru: mapu o’ná mu ripíma ma karka natétiliru.,Kalí kítira natétiwa.,neutral
"Juli, ba’alínala, echi riká, bisirente Kennedy ma ke nokírili Cuba a’lí…chijonsa ko sontarsi sayéla ma bilé barco chéwili, echi ko waminá Cuba simíami ke a’lí wekabé ra’néla rewáli.",Kennedy ko nuláli mapu ajaré toroka ra’néla a’péami sayélacho najátoma wéli ra’nélacho níwiami.,entailment
"Juli, ba’alínala, echi riká, bisirente Kennedy ma ke nokírili Cuba a’lí…chijonsa ko sontarsi sayéla ma bilé barco chéwili, echi ko waminá Cuba simíami ke a’lí wekabé ra’néla rewáli.","Tási nakówaami nakíli, echi kiti ke kuméli ajarécho barco sírami.",neutral
"Juli, ba’alínala, echi riká, bisirente Kennedy ma ke nokírili Cuba a’lí…chijonsa ko sontarsi sayéla ma bilé barco chéwili, echi ko waminá Cuba simíami ke a’lí wekabé ra’néla rewáli.",Pachána barcochi osá makói weli ranéla riwáli.,entailment
"Chu riká ke, rejóiko ariká bakí.",Pachá najóriliachi bakíli rejói ko.,neutral
"Chu riká ke, rejóiko ariká bakí.",Pachá kochíalachi bakíli rejói ko.,neutral
"Chu riká ke, rejóiko ariká bakí.",Kuwána nalí ku máli rejói ko.,neutral
"Kíni usúwa a’lí apalóchi we ra’isá aníami ke we tamó nichukéwili, isíni kíni e’wénowa ayenacho echoná muchíli, waminá re’léki we kanília ta simáruli.",Toróka métuka wi’lí isíka ne nawáli kíni apalóchala e’perépelachi.,neutral
"Kíni usúwa a’lí apalóchi we ra’isá aníami ke we tamó nichukéwili, isíni kíni e’wénowa ayenacho echoná muchíli, waminá re’léki we kanília ta simáruli.",Kíni apalochi a’lí kini usúwa we ka aníami ke.,contradiction
"Kíni usúwa a’lí apalóchi we ra’isá aníami ke we tamó nichukéwili, isíni kíni e’wénowa ayenacho echoná muchíli, waminá re’léki we kanília ta simáruli.","Kini apalóchi a’lí kini usú we cháti ke, echi kíti ke ni kaníli échi e’perélachi simiyá.",neutral
Tási ne ikíroki wekaná kayamti namúti karéwia.,Pa wabé alikítali ne uméroli suwinía a’lí mo’ayá.,neutral
Tási ne ikíroki wekaná kayamti namúti karéwia.,Ne a’líchopi ne mo’áki.,neutral
Tási ne ikíroki wekaná kayamti namúti karéwia.,Tási ne ikíroki suwába mo’ayá.,entailment
"A’lí, nejé nocháala jípi ko ajaré ne benérima paracaídas anelíami chijácha, echoná jónsa ajarécho benéria ra’neyá, mapu riká jonsa wa’lú bomba atómica anelíami.",Échi bomba atómica anelíami ko tási níwi banisúala.,contradiction
"A’lí, nejé nocháala jípi ko ajaré ne benérima paracaídas anelíami chijácha, echoná jónsa ajarécho benéria ra’neyá, mapu riká jonsa wa’lú bomba atómica anelíami.",Cha anéchani mapu jónsa binói ra’tá bilé bomba pásuwa.,contradiction
"A’lí, nejé nocháala jípi ko ajaré ne benérima paracaídas anelíami chijácha, echoná jónsa ajarécho benéria ra’neyá, mapu riká jonsa wa’lú bomba atómica anelíami.",Péibi jiwéraka banisúliwa ti bomba atómica ra’tábuanala.,neutral
"Kíni a’káchuwa weká ra’íchali tamó ruyéami ke, aníami ke chu riká níili mapu a’lí táa ke a’líko ayenacho bonói retémala kítira rúami ke, chu riká e’peréilisi.",We ni kaníli kíni a’káchuwa ra’icháala kipúa.,neutral
"Kíni a’káchuwa weká ra’íchali tamó ruyéami ke, aníami ke chu riká níili mapu a’lí táa ke a’líko ayenacho bonói retémala kítira rúami ke, chu riká e’peréilisi.",Kíni a’káchuwa ko tási aníli chu riká ochéruli táa ka.,neutral
"Kíni a’káchuwa weká ra’íchali tamó ruyéami ke, aníami ke chu riká níili mapu a’lí táa ke a’líko ayenacho bonói retémala kítira rúami ke, chu riká e’peréilisi.",Kíni a’káchuwa weká namúti ruli kíni retémala kítira mapu chu riká betéili taa ka.,neutral
"Pachá abionichi weká nirú na’pácha mapu iyiri astronautas níwala wéli ru’náami, tamujé níwala ko ra’tábuami ke, ayenacho sapatiala, a’lí ratalí néala sí, echikí ju namúti.",Tamó na’páchala ko tási mapu iyíri astronautas na’páchala ju.,entailment
"Pachá abionichi weká nirú na’pácha mapu iyiri astronautas níwala wéli ru’náami, tamujé níwala ko ra’tábuami ke, ayenacho sapatiala, a’lí ratalí néala sí, echikí ju namúti.","Tamó na’páchala ko mapu iyíri astronautas na’páchala ke, pe ratalí anáwialabi ke, tamujé na’páchala ko ra’tábuami ke.",entailment
"Pachá abionichi weká nirú na’pácha mapu iyiri astronautas níwala wéli ru’náami, tamujé níwala ko ra’tábuami ke, ayenacho sapatiala, a’lí ratalí néala sí, echikí ju namúti.","Na’pácha ko chuwé iyíri yókitami a nirú, mapu iyíri a ba’óri.",neutral
"Echi riká níili, kíni apalóchi ko tási ga’labé rejói níili.",Wabé cháti níili kíni apalóchi.,neutral
"Echi riká níili, kíni apalóchi ko tási ga’labé rejói níili.",Wabé chíbi aníami ke kípi apalóchi ajarécho kawéliami we chati alewéami.,contradiction
"Echi riká níili, kíni apalóchi ko tási ga’labé rejói níili.","¡Kíni apalóchi ne wabé ga’labé rejói níili, ke che mu riwíméa chiyíri che!",contradiction
"Besá makói nayósa makói ma nirú abioni U 2 a’lí ma chotáiri echi mélami benéria chinos, ayenacho ajarécho, o’mána wichimóba e’pérami si benérika.",Ke wési tamó benériki.,contradiction
"Besá makói nayósa makói ma nirú abioni U 2 a’lí ma chotáiri echi mélami benéria chinos, ayenacho ajarécho, o’mána wichimóba e’pérami si benérika.",Malí taráli tamó benéli británicos yua.,neutral
"Besá makói nayósa makói ma nirú abioni U 2 a’lí ma chotáiri echi mélami benéria chinos, ayenacho ajarécho, o’mána wichimóba e’pérami si benérika.",Ajarécho weká sontarusi yua ta benéli.,'entailment'
"A’lí ko je aní, ákaneko, áka je’ná nocháliachi.",Échi ko tási tamí ra’íchi.,contradiction
"A’lí ko je aní, ákaneko, áka je’ná nocháliachi.",Namúti tamí ánulia nuléki.,neutral
"A’lí ko je aní, ákaneko, áka je’ná nocháliachi.",Echi ko aniyé mapu nejé oselí we natéami áma.,neutral
Échi ko aníli mapu waminá ka’ó simíbali.,Buwichí pe wesabé isábuli.,neutral
Échi ko aníli mapu waminá ka’ó simíbali.,Aníli mapu tu re’léki simíbali.,entailment
Échi ko aníli mapu waminá ka’ó simíbali.,Aníli mapu waminá ka’ó eenaali.,entailment
"Ne bichíwaka ra’íchaka, tási sinéti ne i’néki oselí libros mapu ni leerinulia nuléiru.",Ke ni i’né leería bilé oselí libro bilé ciento osirúami mo’áami.,neutral
"Ne bichíwaka ra’íchaka, tási sinéti ne i’néki oselí libros mapu ni leerinulia nuléiru.",Tási ne weká leeri oselí libros osirúami.,entailment
"Ne bichíwaka ra’íchaka, tási sinéti ne i’néki oselí libros mapu ni leerinulia nuléiru.",Sinibí rawé ne leeri oselí libros.,entailment
"A ne simíli a’lí ko kíni na’páchala ku wíki, chijónsa waminá ne simíli mapu o’na ne simiyé.","Tá chiwáwala echoná ne rewéki, je ni ilayé ke chibiré nejé kítira ko.",neutral
"A ne simíli a’lí ko kíni na’páchala ku wíki, chijónsa waminá ne simíli mapu o’na ne simiyé.",Ta chiwáwala ku mujé betélachi toká.,neutral
"A ne simíli a’lí ko kíni na’páchala ku wíki, chijónsa waminá ne simíli mapu o’na ne simiyé.",Ta chiwáwala mapu amí nirúami ju toká.,neutral
Wabé cha riká ku aniyé.,Tási kanílika iyénai nalí a wabé jiwérali.,neutral
Wabé cha riká ku aniyé.,We kanílisa pei a’líko we o’mónali.,neutral
Wabé cha riká ku aniyé.,Wabé cha riká ku ra’íchali cha ku iníili.,contradiction
"Makói malí pakótami katúili mapu nejé waminá benéalachi siméa, tási ne siméa, tási ne siméa.",Tási ne juláraami ju skuelchi benelíachi.,contradiction
"Makói malí pakótami katúili mapu nejé waminá benéalachi siméa, tási ne siméa, tási ne siméa.",A ne juláraami ju skuelchi benéalachi.,neutral
"Makói malí pakótami katúili mapu nejé waminá benéalachi siméa, tási ne siméa, tási ne siméa.",Nejé nalí wabé ga’labé ke mapu riká ne wilibánali.,neutral
"Wekabé cámaras semérika simáro waminá re’pá, ajaréanachi i’nía basalówa bachá rikó si’nú mela a’lí ma benésaka abioni U2 méla, we ru’náami napáchika.","Ajaré mapu benéli tási umero simára, a’lí ke umérocho abioni U2 mélaka i’nía.",contradiction
"Wekabé cámaras semérika simáro waminá re’pá, ajaréanachi i’nía basalówa bachá rikó si’nú mela a’lí ma benésaka abioni U2 méla, we ru’náami napáchika.",Ne we benéka nakí mapure abioni melánaa ka U2 anelíami.,entailment
"Wekabé cámaras semérika simáro waminá re’pá, ajaréanachi i’nía basalówa bachá rikó si’nú mela a’lí ma benésaka abioni U2 méla, we ru’náami napáchika.",Sinéwi rawé abioni U2 bi uméro i’nía.,neutral
Echi kítirabi ne nócha bijí.,Sébali ne tibúla je’ná kulíwaami namúti.,neutral
Echi kítirabi ne nócha bijí.,Sébali a ne bujána ra’íchali biléana osirúachi.,neutral
Echi kítirabi ne nócha bijí.,Échi kítiracho ne ra’ícha mapu riká échi.,neutral
"Sinéwi chokichí ke, kicháosa makói malí bamíbali simáru, echoná mapu o’ná najóriliachi ju waminá Texas anelíachi, sontarusi ayenacho baweráli oselí kuíra jáwami, Texas e’peréami jáwami newalelíwi.",Échi sontarusi Texas e’peréami ko tási si umero si nasayéta.,neutral
"Sinéwi chokichí ke, kicháosa makói malí bamíbali simáru, echoná mapu o’ná najóriliachi ju waminá Texas anelíachi, sontarusi ayenacho baweráli oselí kuíra jáwami, Texas e’peréami jáwami newalelíwi.",Waminá bo’ómi birinko e’perélachi échi sontarusi nóchami bilé rewalí áiru.,neutral
"Sinéwi chokichí ke, kicháosa makói malí bamíbali simáru, echoná mapu o’ná najóriliachi ju waminá Texas anelíachi, sontarusi ayenacho baweráli oselí kuíra jáwami, Texas e’peréami jáwami newalelíwi.",Waminá Texas nóchami echimí embajadores rewáiru.,neutral
Nejé a namúti isia umpasaká mujé kítira.,Nejé a uméro namúti kítira mi ku’íra.,neutral
Nejé a namúti isia umpasaká mujé kítira.,Nejéko machiyé mapu nejé tási umero mi ku’íra.,neutral
Nejé a namúti isia umpasaká mujé kítira.,A ne umpasa riwéli mí ku’íra echi kítira.,neutral
"Tási kaléli échi, sinibí ruyéami ke kípi ko’chílá, chiriká aniyé, támu mu a’lá newá.",Échi ko sinibí ku’íroli kípi rijimála.,neutral
"Tási kaléli échi, sinibí ruyéami ke kípi ko’chílá, chiriká aniyé, támu mu a’lá newá.",Ayena a aníli mapu rijimála ko tási namúti machíli newayá.,neutral
"Tási kaléli échi, sinibí ruyéami ke kípi ko’chílá, chiriká aniyé, támu mu a’lá newá.",We cha aníami níili kípi rijimá kítira.,neutral
"Echi betélachi ne simíki a’líko telefonochi ne ra’íchiki, echoná mapu riká ne ra’íchima riké echoná nawása.",Teléfono tanéwitami ne nati ra’íchiki.,neutral
"Echi betélachi ne simíki a’líko telefonochi ne ra’íchiki, echoná mapu riká ne ra’íchima riké echoná nawása.",Échi numerochi ne ra’íchaki betélachi nawása.,neutral
"Echi betélachi ne simíki a’líko telefonochi ne ra’íchiki, echoná mapu riká ne ra’íchima riké echoná nawása.",A ne ra’icháma riké tási ne ra’íchaki.,neutral
"Juli, be’á echoná nawáli a’lí ke ni newalá chu riká, a namúti ne náriki, échi bakíli, tási ne ga’lá machí.","Jípi ko tási simíki, tási ne rewáki jípi ko.",neutral
